List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Eggplant, Tomatoes, Onion, Garlic, Spices",Tomatoes-Eggplant Gravy,35,North Indian,"Heat oil in a pan, saute chopped onions and garlic until golden brown. Add chopped tomatoes and cook until soft. Add diced eggplant, salt, and spices, and mix well. Pour some water, cover, and simmer until the eggplant becomes tender. Stir occasionally and cook until the gravy thickens. Serve with rice or chapati.",25.9,21,5,Kheer
"Eggplant, Tomatoes, Onion, Garlic, Spices",Spicy Garlic Eggplant Curry,45,Maharashtrian,"Heat oil in a pan, add chopped garlic and saute until fragrant. Add onions and cook until golden brown. Stir in chopped tomatoes and cook until mushy. Add eggplant pieces, salt, chili powder, and other spices. Cook on low heat until the eggplant absorbs the flavors. Add little water for a thick curry consistency. Serve hot with rice or roti.",19,37,11,Mango Lassi
"Lentils, Onion, Tomatoes, Spices, Butter",Dal Tadka,40,North Indian,"Rinse lentils and cook them with water until soft. Heat butter in a pan, saute chopped onions and tomatoes until soft. Add spices and mix well. Pour the cooked lentils into the pan, stir well, and simmer for a few minutes. In a separate pan, heat butter, add garlic and cumin, fry until aromatic, then pour over the dal. Garnish with coriander and serve hot.",29.7,25,3,Milkshake
"Lentils, Onion, Tomatoes, Spices, Butter",Butter Lentil Curry,50,Punjabi,"Cook lentils until soft and mash slightly. Heat butter in a pan, add chopped onions and saute until golden. Stir in chopped tomatoes and cook until soft. Add cooked lentils, spices, and mix well. Simmer for a few minutes for a rich consistency. Serve hot with rice or chapati.",8.3,32,8,Vanilla Ice Cream
"Lentils, Onion, Tomatoes, Spices, Butter",Spicy Lentil Soup,45,South Indian,"Cook lentils with enough water until soft. Heat oil, add chopped onions, garlic, and saute until fragrant. Add chopped tomatoes, spices, and mix well. Pour in the cooked lentils, adjust water for soup consistency, and simmer for a few minutes. Serve hot with a garnish of coriander.",8.3,15,4,Vanilla Ice Cream
"Fish, Coconut Milk, Curry Leaves, Tamarind, Spices",Fish Curry,55,South Indian,"Heat oil in a pan, add mustard seeds and curry leaves. Saute onions until golden brown, then add chopped tomatoes and cook until soft. Add tamarind extract, coconut milk, and spices, and bring to a boil. Add fish pieces and cook on low heat until the fish is tender. Serve hot with rice.",7.5,36,8,Mango Lassi
"Fish, Coconut Milk, Curry Leaves, Tamarind, Spices",Coconut Fish Gravy,60,Kerala,"Heat oil in a pan, saute onions until golden. Add chopped tomatoes and cook until mushy. Stir in spices, coconut milk, and tamarind extract. Add fish pieces, cover, and simmer until cooked. Adjust the consistency and serve hot with rice.",10.2,16,5,Milkshake
"Fish, Coconut Milk, Curry Leaves, Tamarind, Spices",Spicy Tamarind Fish Curry,50,Tamil Nadu,"Heat oil, add curry leaves and onions, saute until golden. Add chopped tomatoes, tamarind extract, and spices, then mix well. Add fish pieces and cook on low heat until the flavors are absorbed. Simmer until the gravy thickens and serve hot.",19.6,30,14,Gulab Jamun
"Fish, Coconut Milk, Curry Leaves, Tamarind, Spices",Fish Coconut Masala,65,Goan,"Heat oil, saute onions until golden, then add tomatoes and cook until soft. Stir in spices and coconut milk. Add fish pieces and cook until tender. Fry for a few minutes to enhance flavor. Serve hot with rice or roti.",7.3,35,11,Sweet Lassi
"Fish, Coconut Milk, Curry Leaves, Tamarind, Spices",Kerala Fish Curry,70,South Indian,"Heat oil in a pan, add mustard seeds, curry leaves, and chopped onions. Saute until golden brown. Add chopped tomatoes, tamarind extract, and spices, and cook until the oil separates. Pour in coconut milk and bring to a simmer. Add fish pieces and cook on low heat until tender. Serve hot with rice.",25,30,8,Mango Lassi
"Spinach, Tomatoes, Onion, Garlic, Spices",Spinach Gravy Curry,35,South Indian,"Heat oil in a pan, saute chopped onions and garlic until golden brown. Add chopped tomatoes and cook until soft. Stir in finely chopped spinach and spices, then cook until wilted. Add water for a thick gravy consistency and simmer for a few minutes. Serve hot with rice or roti.",7.6,35,10,Gulab Jamun
"Spinach, Tomatoes, Onion, Garlic, Spices",Palak Tamatar Masala,25,North Indian,"Heat oil, add garlic and onions, and saute until golden. Add chopped tomatoes and cook until mushy. Stir in chopped spinach, salt, and spices, and cook until well blended. Simmer for a few minutes to enhance the flavors. Serve with roti or rice.",3.1,38,14,Mango Lassi
"Paneer, Tomatoes, Onion, Butter, Spices",Butter Paneer Gravy,45,Punjabi,"Heat butter in a pan, saute onions until golden. Add chopped tomatoes and cook until soft. Blend into a smooth paste and return to the pan. Add spices and simmer. Stir in paneer cubes, mix well, and cook for a few minutes. Garnish with cream and serve with naan or rice.",17.7,19,7,Kulfi
"Paneer, Tomatoes, Onion, Butter, Spices",Kadai Paneer Masala,40,North Indian,"Heat oil, saute chopped onions, and garlic until golden. Add chopped tomatoes and cook until soft. Stir in spices and diced paneer. Cook on medium heat until the paneer absorbs the flavors. Garnish with capsicum and serve hot.",26.6,34,11,Mango Lassi
"Potatoes, Peas, Tomatoes, Onion, Spices",Spicy Aloo Matar Curry,35,Maharashtrian,"Heat oil, add chopped onions, and saute until golden. Stir in chopped tomatoes and cook until mushy. Add diced potatoes, peas, salt, and spices. Pour water for gravy and simmer until the potatoes are soft. Serve with rice or chapati.",26.8,36,9,Vanilla Ice Cream
"Potatoes, Peas, Tomatoes, Onion, Spices",Aloo Matar Masala,30,Bengali,"Heat oil in a pan, saute onions until golden. Add tomatoes and cook until soft. Add potatoes, peas, and spices, then stir-fry on low heat until well coated. Add little water and simmer until tender. Serve hot with roti.",22.1,30,11,Mango Lassi
"Chickpeas, Tomatoes, Onion, Ginger, Spices",Spicy Chickpea Stew,45,Moroccan,"Soak and boil chickpeas until soft. Heat oil, saute chopped onions and ginger until golden. Add tomatoes and cook until mushy. Stir in spices, cooked chickpeas, and some water. Simmer until thick. Serve hot with rice or bread.",24.5,24,3,Gulab Jamun
"Chickpeas, Tomatoes, Onion, Ginger, Spices",Chickpea Coconut Fry,30,South Indian,"Heat oil, saute onions and garlic until golden. Add tomatoes and cook until soft. Stir in spices and boiled chickpeas. Pour in coconut milk and cook on low heat until well blended. Serve as a side dish.",29,15,15,Buttermilk
"Fish, Mustard Oil, Tomatoes, Onion, Spices",Bengali Fish Curry,50,Bengali,"Heat mustard oil in a pan, add chopped onions and saute until golden. Stir in tomatoes and cook until soft. Add mustard paste, spices, and some water. Bring to a boil, then add fish pieces and cook until tender. Serve with steamed rice.",24.6,38,12,Vanilla Ice Cream
"Fish, Mustard Oil, Tomatoes, Onion, Spices",Mustard Fish Masala,55,North Eastern,"Heat mustard oil, add chopped onions and cook until golden. Stir in tomatoes, mustard paste, and spices. Cook until oil separates. Add fish pieces and coat well with the masala. Cook on low heat until done. Serve hot with rice or roti.",9.7,34,14,Vanilla Ice Cream
"Eggplant, Tomatoes, Tamarind, Spices",Tamarind Eggplant Curry,40,South Indian,"Heat oil in a pan, saute chopped eggplant until slightly golden. Add chopped tomatoes and cook until soft. Stir in tamarind extract, salt, and spices. Add water and simmer until the eggplant is fully cooked and the flavors blend. Serve hot with rice or roti.",27.4,36,8,Sweet Lassi
"Eggplant, Tomatoes, Tamarind, Spices",Sweet and Spicy Eggplant Fry,35,Maharashtrian,"Heat oil, add chopped eggplant and fry until golden. Add chopped tomatoes, tamarind extract, salt, sugar, and spices. Stir well and cook on low heat until the eggplant absorbs the flavors. Serve hot as a side dish.",20.2,26,10,Mango Lassi
"Lentils, Spinach, Tomatoes, Onion, Spices",Spinach Lentil Soup,40,South Indian,"Boil lentils until soft. In another pan, saute onions, tomatoes, and spices. Add chopped spinach and cook until wilted. Pour in the cooked lentils, mix well, and simmer for a few minutes. Adjust consistency and serve hot.",4.4,15,5,Soft Drink
"Lentils, Spinach, Tomatoes, Onion, Spices",Palak Dal Tadka,35,North Indian,"Cook lentils until soft. Heat oil in a pan, add mustard seeds, garlic, onions, and saute until golden. Add tomatoes and cook until soft. Stir in chopped spinach and spices. Pour in the cooked lentils and mix well. Simmer for a few minutes and serve with rice.",4.5,23,7,Milkshake
"Cauliflower, Tomatoes, Onion, Garlic, Spices",Cauliflower Masala Curry,30,Punjabi,"Heat oil, add onions, garlic, and saute until golden. Stir in tomatoes and cook until soft. Add cauliflower florets, salt, and spices. Cover and cook on low heat until tender. Add little water for a gravy consistency. Serve hot.",7.6,37,13,Gulab Jamun
"Cauliflower, Tomatoes, Onion, Garlic, Spices",Gobi Tamatar Fry,25,South Indian,"Heat oil in a pan, add chopped onions and saute until golden. Stir in chopped tomatoes and cook until soft. Add cauliflower florets, salt, and spices. Stir-fry on medium heat until the cauliflower is crispy. Serve hot as a side dish.",27.9,19,14,Coconut Water
"Okra, Tomatoes, Onion, Garlic, Spices",Bhindi Masala,30,North Indian,"Heat oil, add chopped onions and saute until soft. Stir in garlic and tomatoes, cook until mushy. Add chopped okra, salt, and spices. Cook on low heat, stirring occasionally, until the okra is tender. Serve with roti or rice.",16.2,39,11,Sweet Lassi
"Okra, Tomatoes, Onion, Garlic, Spices",Spicy Okra Fry,20,South Indian,"Heat oil, add chopped okra and stir-fry on high heat. Add onions, garlic, and tomatoes. Cook until soft. Sprinkle spices, mix well, and fry until crispy. Serve as a side dish.",3.8,19,14,Sweet Lassi
"Mushrooms, Tomatoes, Onion, Cream, Spices",Creamy Mushroom Curry,40,Mughlai,"Heat oil, saute onions and garlic until golden. Add chopped tomatoes and cook until mushy. Stir in mushrooms and spices. Pour in cream, mix well, and cook until thick and flavorful. Serve with rice or naan.",23.1,32,14,Mango Lassi
"Mushrooms, Tomatoes, Onion, Cream, Spices",Spicy Mushroom Masala Fry,30,South Indian,"Heat oil, saute onions and garlic until golden. Add tomatoes and cook until soft. Stir in mushrooms, salt, and spices. Fry on medium heat until mushrooms absorb the flavors. Serve hot.",2.5,35,12,Vanilla Ice Cream
"Pumpkin, Coconut, Tamarind, Spices",Pumpkin Tamarind Curry,30,South Indian,"Heat oil, add mustard seeds and saute onions. Add chopped pumpkin, tamarind extract, salt, and spices. Pour some water and cook until the pumpkin is soft. Simmer until the curry thickens. Serve hot with rice.",3.5,36,10,Mango Lassi
"Pumpkin, Coconut, Tamarind, Spices",Spicy Pumpkin Masala,35,Maharashtrian,"To prepare Spicy Pumpkin Masala, heat oil in a pan and add mustard seeds, allowing them to splutter. Then, add finely chopped onions and saute until they turn golden brown. Stir in chopped tomatoes and cook until they become soft and mushy. Add turmeric, red chili powder, coriander powder, and garam masala, mixing everything well. Now, add chopped pumpkin and stir-fry for a few minutes to coat them in the masala. Pour in coconut milk along with a little water and add tamarind extract for a tangy flavor. Cover the pan and let the curry simmer on low heat until the pumpkin becomes soft and absorbs all the flavors. Once done, garnish with fresh coriander leaves and serve hot with rice or roti.",26.4,32,14,Mango Lassi
"Radish, Tomatoes, Onion, Ginger, Spices",Mooli Curry,30,North Indian,"Heat oil in a pan and add cumin seeds, allowing them to crackle. Add finely chopped onions and grated ginger, Sauteing until the onions turn golden brown. Add chopped tomatoes and cook until they soften completely. Stir in turmeric powder, red chili powder, coriander powder, and salt, mixing well to combine. Now, add sliced radish and stir to coat it with the masala. Pour in a little water, cover the pan, and let it cook until the radish becomes tender and fully absorbs the flavors. Allow the curry to simmer until the desired consistency is reached. Garnish with fresh coriander leaves and serve hot with roti or rice.",9.5,31,9,Mango Lassi
"Radish, Tomatoes, Onion, Ginger, Spices",Spicy Radish Fry,25,South Indian,"Heat oil in a pan and add mustard seeds, letting them splutter. Add finely chopped onions and saute until they turn soft. Now, add sliced radish and stir-fry on medium heat. Sprinkle turmeric powder, red chili powder, and salt, mixing everything well. Cover the pan and let it cook for a few minutes, stirring occasionally, until the radish becomes tender. Finally, increase the heat and stir-fry until the radish turns slightly crispy. Serve hot as a delicious side dish with rice or roti.",8.7,29,10,Mango Lassi
"Mutton, Tomatoes, Onion, Garlic, Spices",Spicy Mutton Masala,60,Mughlai,"Heat oil in a pressure cooker and add whole spices like bay leaf, cinnamon, and cloves, allowing them to release their aroma. Add finely chopped onions and saute until they turn golden brown. Stir in ginger-garlic paste and cook until the raw smell disappears. Now, add chopped tomatoes and cook until they turn soft and mushy. Sprinkle turmeric powder, red chili powder, coriander powder, and garam masala, mixing well to coat the ingredients. Add mutton pieces and sear them on high heat for a couple of minutes to lock in the juices. Pour in water, close the lid, and pressure cook for about 20-25 minutes until the mutton becomes tender. Once done, open the cooker and simmer the curry until the gravy thickens. Garnish with fresh coriander leaves and serve hot with rice or naan.",2.6,34,14,Gulab Jamun
"Mutton, Tomatoes, Onion, Garlic, Spices",Hyderabadi Mutton Curry,70,Hyderabadi,"Heat oil in a heavy-bottomed pan and add whole spices like cardamom, bay leaf, and cinnamon. Add thinly sliced onions and saute them on medium heat until they turn deep golden brown, giving the curry its signature flavor. Stir in ginger-garlic paste and cook until the raw smell disappears. Now, add chopped tomatoes and cook until they break down completely. Add turmeric powder, red chili powder, garam masala, and salt, mixing well to coat the onions and tomatoes. Add marinated mutton pieces and stir well, ensuring they are coated with the masala. Pour in water, cover the pan, and slow-cook until the mutton becomes tender and flavorful. Garnish with coriander leaves and serve hot with naan or rice.",6.4,32,14,Vanilla Ice Cream
"Tofu, Spinach, Tomatoes, Onion, Spices",Spicy Tofu Spinach Gravy,40,Asian Fusion,"Heat oil in a pan and saute finely chopped onions until they turn translucent. Add chopped tomatoes and cook until they soften completely. Stir in turmeric powder, red chili powder, coriander powder, and salt, mixing everything well. Add finely chopped spinach and cook until it wilts completely. Pour in a little water and blend the mixture into a smooth paste using a blender. Return the blended mixture to the heat, add tofu cubes, and let it simmer for a few minutes until the tofu absorbs the flavors. Serve hot with rice or chapati.",12.1,17,4,Mango Lassi
"Tofu, Spinach, Tomatoes, Onion, Spices",Creamy Tofu Spinach Curry,45,North Indian,"Follow the same steps as in the Spicy Tofu Spinach Gravy by Sauteing onions, tomatoes, and spices, then adding chopped spinach and blending it into a smooth paste. After blending, return the mixture to the heat and stir in fresh cream or cashew paste for a rich and creamy texture. Add tofu cubes and gently mix everything. Let the curry simmer for a few more minutes so that the tofu absorbs the creamy flavors. Serve hot with naan or rice for a delicious meal.",20,31,9,Sweet Lassi
"Prawns, Coconut Milk, Tamarind, Spices",Prawn Coconut Gravy,50,Goan,"Heat oil in a pan and add finely chopped onions, Sauteing them until they turn golden brown. Add chopped tomatoes and cook until they become soft. Stir in turmeric powder, red chili powder, and coriander powder, mixing well. Now, add cleaned prawns and cook until they turn pink and firm. Pour in coconut milk along with a little tamarind extract to balance the flavors. Allow the curry to simmer on low heat until all the ingredients blend well. Serve hot with steamed rice for a rich and flavorful dish.",18.6,16,6,Kulfi
"Prawns, Coconut Milk, Tamarind, Spices",Spicy Prawn Masala,45,South Indian,"Heat oil in a pan and add whole spices like cinnamon, cloves, and bay leaf. Add finely chopped onions and saute until they turn golden brown. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until they turn soft and mushy. Sprinkle turmeric powder, red chili powder, and garam masala, mixing well. Now, add cleaned prawns and stir well, allowing them to absorb the flavors. Cook on medium heat until the prawns are fully cooked and the masala thickens. Garnish with fresh coriander leaves and serve hot with rice or chapati.",10.9,30,13,Mango Lassi
"Capsicum, Tomatoes, Onion, Garlic, Spices",Spicy Capsicum Fry,25,South Indian,"Heat oil in a pan and add finely chopped onions, Sauteing them until they turn soft. Add chopped capsicum and stir-fry on medium heat. Sprinkle turmeric powder, red chili powder, coriander powder, and salt, mixing everything well. Cook until the capsicum becomes slightly crispy, ensuring it retains its crunch. Serve hot as a delicious side dish with rice or roti.",2.4,22,15,Mango Lassi
"Capsicum, Tomatoes, Onion, Garlic, Spices",Capsicum Masala Curry,35,North Indian,"Heat oil in a pan and saute finely chopped onions until they turn golden brown. Add chopped tomatoes and cook until they become soft and mushy. Stir in turmeric powder, red chili powder, coriander powder, and garam masala, mixing well to coat the ingredients. Now, add chopped capsicum and cook until it becomes tender. Pour in a little water to adjust the consistency and let the curry simmer for a few minutes. Garnish with fresh coriander leaves and serve hot with roti or rice for a flavorful and comforting meal.",6.1,32,12,Vanilla Ice Cream
"Crab, Coconut, Tamarind, Spices",Spicy Crab Masala,60,Goan,"Clean the crab thoroughly and set it aside. Heat oil in a large pan and add mustard seeds, allowing them to splutter. Add finely chopped onions and saute until golden brown. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until they become soft. Mix in turmeric powder, red chili powder, coriander powder, garam masala, and salt. Now, add freshly grated coconut and saute for a couple of minutes until aromatic. Add the cleaned crab and stir well, ensuring it's coated with the masala. Pour in a little water and cover the pan, letting the crab cook on low heat until fully done and the masala thickens. Garnish with fresh coriander and serve hot with rice or roti.",27.8,33,14,Sweet Lassi
"Crab, Coconut, Tamarind, Spices",Tamarind Crab Curry,65,South Indian,"Clean the crab and keep it aside. Heat oil in a pan and add mustard seeds, followed by finely chopped onions. Saute until they turn golden brown. Add ginger-garlic paste and cook until the raw smell disappears. Stir in chopped tomatoes and cook until soft. Add turmeric powder, red chili powder, coriander powder, and salt. Now, pour in tamarind extract and mix well. Add the cleaned crab and stir to coat it with the masala. Let it simmer on low heat until the crab is fully cooked and absorbs the tangy flavors. Finish with fresh coriander and serve hot with steamed rice.",25,31,12,Mango Lassi
"Sweet Potatoes, Coconut, Ginger, Spices",Sweet Potato Coconut Curry,35,Kerala,"Peel and chop the sweet potatoes into cubes. Heat oil in a pan and saute finely chopped onions until soft. Add grated ginger and stir until aromatic. Stir in turmeric powder, cumin powder, coriander powder, and salt. Now, add the sweet potatoes and mix well. Pour in coconut milk and let the curry simmer until the sweet potatoes turn soft and creamy. Garnish with fresh coriander and serve hot with rice or roti.",22.3,48,10,Vanilla Ice Cream
"Sweet Potatoes, Coconut, Ginger, Spices",Spicy Sweet Potato Masala,30,North Indian,"Peel and dice the sweet potatoes. Heat oil in a pan and add mustard seeds, allowing them to splutter. Add finely chopped onions and saute until golden. Stir in grated ginger, red chili powder, turmeric powder, and garam masala. Add the sweet potatoes and stir-fry until coated with the spices. Cover and cook on low heat until the sweet potatoes turn soft yet slightly crispy. Serve hot as a side dish with rice or chapati.",29.7,48,12,Mango Lassi
"Lamb, Tomatoes, Onion, Garlic, Spices",Lamb Rogan Josh,75,Kashmiri,"Heat oil in a pan and add whole spices like cinnamon, cloves, and bay leaf. Add finely chopped onions and saute until deep golden brown. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until soft. Mix in turmeric powder, red chili powder, garam masala, and salt. Add the lamb pieces and sear them on high heat. Pour in water, cover, and slow-cook until the lamb turns tender. Once done, let the gravy simmer until thick and flavorful. Garnish with fresh coriander and serve hot with naan or rice.",2.4,19,4,Soft Drink
"Lamb, Tomatoes, Onion, Garlic, Spices",Spicy Lamb Masala,65,Mughlai,"Heat oil in a pan and add finely chopped onions, Sauteing until golden brown. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until soft. Mix in turmeric powder, red chili powder, coriander powder, garam masala, and salt. Add lamb pieces and cook on medium heat until they brown slightly. Pour in water, cover, and let it cook on low heat until the lamb turns tender and absorbs all the spices. Garnish with fresh coriander and serve hot with roti or rice.",16.7,32,10,Vanilla Ice Cream
"Mixed Vegetables, Coconut, Spices",Vegetable Kurma,45,South Indian,"Chop mixed vegetables like carrots, beans, potatoes, and peas. Heat oil in a pan and add whole spices like cloves, cardamom, and bay leaf. Add finely chopped onions and saute until golden. Stir in chopped tomatoes and cook until soft. Add turmeric powder, coriander powder, and salt. Now, add the mixed vegetables and stir well. Pour in coconut milk and a little water, then cover and cook until the vegetables turn tender. Garnish with fresh coriander and serve hot with rice or chapati.",5.8,16,5,Fruit Juice
"Mixed Vegetables, Coconut, Spices",Spicy Vegetable Masala,40,North Indian,"Chop mixed vegetables like potatoes, carrots, beans, and peas. Heat oil in a pan and add mustard seeds, allowing them to splutter. Add chopped onions and saute until golden. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until soft. Mix in turmeric powder, red chili powder, garam masala, and salt. Now, add the vegetables and stir-fry until they are well coated with the spices. Pour in a little water, cover, and let it cook until the vegetables become tender. Garnish with fresh coriander and serve hot.",28.6,35,9,Mango Lassi
"Duck, Tamarind, Spices, Coconut",Duck Coconut Curry,70,Kerala,"Clean and cut the duck into pieces. Heat oil in a pan and add whole spices like cinnamon, cloves, and bay leaf. Add finely chopped onions and saute until golden. Stir in chopped tomatoes and cook until soft. Mix in turmeric powder, red chili powder, coriander powder, and salt. Add the duck pieces and cook on medium heat until they brown slightly. Pour in coconut milk and tamarind extract, then cover and let it cook on low heat until the duck turns tender and the curry thickens. Garnish with fresh coriander and serve hot with rice or chapati.",25.5,31,10,Gulab Jamun
"Duck, Tamarind, Spices, Coconut",Spicy Duck Masala,75,South Indian,"Heat oil in a pan and add whole spices like bay leaf and cloves. Add finely chopped onions and saute until golden brown. Stir in chopped tomatoes and cook until soft. Add turmeric powder, red chili powder, coriander powder, garam masala, and salt. Now, add the duck pieces and stir-fry on high heat. Pour in water, cover, and slow-cook until the duck becomes tender. Simmer until the gravy thickens, then garnish with fresh coriander and serve hot.",3.6,37,9,Mango Lassi
"Paneer, Tomatoes, Onion, Cream, Spices",Paneer Butter Masala,40,North Indian,"Heat butter in a pan and add finely chopped onions, Sauteing until golden brown. Stir in chopped tomatoes and cook until soft. Blend the mixture into a smooth paste. Return the paste to the pan and add turmeric powder, red chili powder, garam masala, and salt. Pour in fresh cream and stir well. Add paneer cubes and let it simmer until the paneer absorbs the creamy flavors. Garnish with fresh coriander and serve hot with naan or rice.",14.5,32,14,Gulab Jamun
"Paneer, Tomatoes, Onion, Cream, Spices",Spicy Paneer Tikka Masala,45,Punjabi,"Marinate paneer cubes with yogurt, turmeric powder, red chili powder, garam masala, and salt. Heat oil in a pan and grill the marinated paneer until golden brown on all sides. In another pan, heat oil and saute finely chopped onions until golden. Stir in chopped tomatoes and cook until soft. Add turmeric powder, red chili powder, garam masala, and salt. Pour in a little water and let the mixture simmer. Add the grilled paneer cubes and cook for a few minutes until they absorb the masala. Garnish with fresh coriander and serve hot with naan or rice.",27.8,37,14,Sweet Lassi
"Duck Eggs, Tomatoes, Onion, Garlic, Spices",Spicy Duck Egg Curry,35,South Indian,"To prepare Masala Duck Egg Fry, start by boiling the duck eggs in water for about 10 minutes until they are fully cooked. Once done, transfer them to cold water, peel the shells, and set them aside. Heat oil in a pan and add finely chopped onions, Sauteing them until they turn golden brown. Add minced garlic and cook until its raw smell disappears. Next, add finely chopped tomatoes and cook until they become soft and mushy. Sprinkle spices like turmeric powder, red chili powder, coriander powder, and salt, mixing well to form a thick masala. Make small slits on the boiled eggs and add them to the pan, gently coating them with the masala. Allow them to cook for about 5 minutes, stirring occasionally so the eggs absorb the flavors. Finally, garnish with fresh coriander and serve hot with rice or roti. ",26.8,34,12,Vanilla Ice Cream
"Duck Eggs, Tomatoes, Onion, Garlic, Spices",Masala Duck Egg Fry,30,Kerala,"To prepare Masala Duck Egg Fry, start by boiling the duck eggs for about 10 minutes, then transfer them to cold water, peel, and set aside. Heat oil in a pan, add finely chopped onions, and saute until golden brown. Add minced garlic and cook until its raw smell disappears. Next, add chopped tomatoes and cook until they become soft and mushy. Sprinkle the available spices, such as turmeric, red chili powder, and salt, and mix well to form a thick masala. Make small slits in the boiled eggs and add them to the pan, stirring gently to coat them with the masala. Let them cook for about 5 minutes, allowing the flavors to infuse. Once done, serve hot with rice or roti for a delicious and spicy meal.",5.6,36,10,Sweet Lassi
